periode_data,bulan,tanggal,stasiun,pm_sepuluh,pm_duakomalima,sulfur_dioksida,karbon_monoksida,ozon,nitrogen_dioksida,max,parameter_pencemar_kritis,kategori
202504,4,24,DKI5 Kebon Jeruk,16.0,50.0,18.0,3.0,16.0,4.0,50.0,PM25,BAIK
202504,4,25,DKI5 Kebon Jeruk,23.0,81.0,19.0,9.0,24.0,3.0,81.0,PM25,SEDANG
202504,4,26,DKI5 Kebon Jeruk,30.0,77.0,20.0,11.0,29.0,3.0,77.0,PM25,SEDANG
202504,4,27,DKI5 Kebon Jeruk,31.0,85.0,21.0,12.0,47.0,4.0,85.0,PM25,SEDANG
202504,4,28,DKI5 Kebon Jeruk,24.0,78.0,20.0,9.0,37.0,4.0,78.0,PM25,SEDANG
202504,4,29,DKI5 Kebon Jeruk,21.0,81.0,21.0,9.0,33.0,5.0,81.0,PM25,SEDANG
202504,4,30,DKI5 Kebon Jeruk,24.0,88.0,21.0,8.0,37.0,5.0,88.0,PM25,SEDANG
202505,5,1,DKI1 Bundaran Hotel Indonesia (HI),58.0,91.0,34.0,17.0,19.0,41.0,91.0,PM25,SEDANG
202505,5,2,DKI1 Bundaran Hotel Indonesia (HI),58.0,89.0,33.0,14.0,20.0,36.0,89.0,PM25,SEDANG
202505,5,3,DKI1 Bundaran Hotel Indonesia (HI),56.0,83.0,33.0,15.0,16.0,46.0,83.0,PM25,SEDANG
202505,5,4,DKI1 Bundaran Hotel Indonesia (HI),52.0,73.0,29.0,15.0,16.0,36.0,73.0,PM25,SEDANG
202505,5,5,DKI1 Bundaran Hotel Indonesia (HI),60.0,96.0,35.0,20.0,11.0,42.0,96.0,PM25,SEDANG
202505,5,6,DKI1 Bundaran Hotel Indonesia (HI),53.0,83.0,32.0,19.0,13.0,47.0,83.0,PM25,SEDANG
202505,5,7,DKI1 Bundaran Hotel Indonesia (HI),58.0,85.0,31.0,23.0,12.0,50.0,85.0,PM25,SEDANG
202505,5,8,DKI1 Bundaran Hotel Indonesia (HI),66.0,101.0,29.0,32.0,11.0,56.0,101.0,PM25,TIDAK SEHAT
202505,5,9,DKI1 Bundaran Hotel Indonesia (HI),54.0,80.0,29.0,18.0,16.0,40.0,80.0,PM25,SEDANG
202505,5,10,DKI1 Bundaran Hotel Indonesia (HI),56.0,88.0,33.0,18.0,23.0,39.0,88.0,PM25,SEDANG
202501,1,15,DKI5 Kebon Jeruk Jakarta Barat,15.0,49.0,13.0,6.0,20.0,4.0,49.0,PM25,BAIK
202501,1,16,DKI5 Kebon Jeruk Jakarta Barat,11.0,54.0,21.0,5.0,42.0,4.0,54.0,PM25,SEDANG
202501,1,17,DKI5 Kebon Jeruk Jakarta Barat,11.0,54.0,26.0,4.0,50.0,5.0,54.0,PM25,SEDANG
202501,1,18,DKI5 Kebon Jeruk Jakarta Barat,7.0,25.0,11.0,3.0,55.0,,55.0,O3,SEDANG
202501,1,19,DKI5 Kebon Jeruk Jakarta Barat,11.0,37.0,24.0,3.0,49.0,3.0,49.0,O3,BAIK
202501,1,20,DKI5 Kebon Jeruk Jakarta Barat,10.0,43.0,18.0,3.0,52.0,5.0,52.0,O3,SEDANG
202501,1,21,DKI5 Kebon Jeruk Jakarta Barat,15.0,54.0,3.0,12.0,38.0,13.0,54.0,PM25,SEDANG
202501,1,22,DKI5 Kebon Jeruk Jakarta Barat,15.0,53.0,16.0,10.0,26.0,14.0,53.0,PM25,SEDANG
202501,1,23,DKI5 Kebon Jeruk Jakarta Barat,16.0,66.0,28.0,7.0,28.0,15.0,66.0,PM25,SEDANG
202501,1,24,DKI5 Kebon Jeruk Jakarta Barat,17.0,74.0,25.0,13.0,25.0,13.0,74.0,PM25,SEDANG
202501,1,25,DKI5 Kebon Jeruk Jakarta Barat,16.0,64.0,22.0,10.0,24.0,9.0,64.0,PM25,SEDANG
202501,1,26,DKI5 Kebon Jeruk Jakarta Barat,17.0,62.0,34.0,8.0,21.0,9.0,62.0,PM25,SEDANG
202501,1,27,DKI5 Kebon Jeruk Jakarta Barat,10.0,54.0,24.0,3.0,13.0,8.0,54.0,PM25,SEDANG
