periode_data,tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
201804,01/04/2018,45,25,17,57,13,57,O3,SEDANG,DKI5
201804,02/04/2018,46,27,18,57,19,57,O3,SEDANG,DKI5
201804,03/04/2018,50,26,27,80,26,80,O3,SEDANG,DKI5
201804,04/04/2018,45,28,20,96,28,96,O3,SEDANG,DKI5
201804,05/04/2018,81,37,29,202,18,202,O3,SANGAT TIDAK SEHAT,DKI5
201804,06/04/2018,56,29,21,144,12,144,O3,TIDAK SEHAT,DKI5
201804,07/04/2018,68,31,29,74,12,74,O3,SEDANG,DKI3
201804,08/04/2018,45,28,16,51,12,51,O3,SEDANG,DKI3
201804,09/04/2018,53,33,20,85,11,85,O3,SEDANG,DKI3
201804,10/04/2018,52,36,19,66,15,66,O3,SEDANG,DKI3
201804,11/04/2018,71,33,23,92,13,92,O3,SEDANG,DKI3
201804,12/04/2018,69,58,16,57,14,69,PM10,SEDANG,DKI2
201804,13/04/2018,54,56,16,121,11,121,O3,TIDAK SEHAT,DKI5
201804,14/04/2018,51,22,21,141,12,141,O3,TIDAK SEHAT,DKI5
201804,15/04/2018,59,27,23,168,13,168,O3,TIDAK SEHAT,DKI5
201804,16/04/2018,65,33,27,185,18,185,O3,TIDAK SEHAT,DKI5
201804,17/04/2018,63,26,24,142,16,142,O3,TIDAK SEHAT,DKI5
201804,18/04/2018,81,29,26,80,23,81,PM10,SEDANG,DKI4
201804,19/04/2018,86,27,33,133,22,133,O3,TIDAK SEHAT,DKI5
201804,20/04/2018,76,24,30,92,18,92,O3,SEDANG,DKI5
201804,21/04/2018,73,26,43,162,25,162,O3,TIDAK SEHAT,DKI5
201804,22/04/2018,70,26,29,117,18,117,O3,TIDAK SEHAT,DKI5
201804,23/04/2018,51,22,30,84,16,84,O3,SEDANG,DKI5
201804,24/04/2018,61,23,33,90,34,90,O3,SEDANG,DKI5
201804,25/04/2018,69,23,37,48,18,69,PM10,SEDANG,DKI1
201804,26/04/2018,71,30,34,56,25,71,PM10,SEDANG,DKI1
201804,27/04/2018,62,23,22,48,16,62,PM10,SEDANG,DKI2
201804,28/04/2018,57,25,23,96,16,96,O3,SEDANG,DKI5
201804,29/04/2018,67,23,26,120,18,120,O3,TIDAK SEHAT,DKI5
201804,30/04/2018,78,24,29,89,22,89,O3,SEDANG,DKI4
201807,09/07/2018,69,29,17,116,17,116,O3,TIDAK SEHAT,DKI5
201807,10/07/2018,87,29,19,124,16,124,O3,TIDAK SEHAT,DKI2
201807,11/07/2018,73,32,17,129,20,129,O3,TIDAK SEHAT,DKI2
201807,12/07/2018,74,32,16,117,18,117,O3,TIDAK SEHAT,DKI5
201807,13/07/2018,80,30,17,107,18,107,O3,TIDAK SEHAT,DKI2
201807,14/07/2018,84,33,19,117,19,117,O3,TIDAK SEHAT,DKI2
201807,15/07/2018,63,29,14,129,11,129,O3,TIDAK SEHAT,DKI2
201807,16/07/2018,61,33,14,222,18,222,O3,SANGAT TIDAK SEHAT,DKI5
201807,17/07/2018,81,30,20,205,19,205,O3,SANGAT TIDAK SEHAT,DKI5
201807,18/07/2018,88,29,25,208,20,208,O3,SANGAT TIDAK SEHAT,DKI5
201807,19/07/2018,82,30,19,188,19,188,O3,TIDAK SEHAT,DKI5
201807,20/07/2018,79,30,16,113,18,113,O3,TIDAK SEHAT,DKI5
201807,21/07/2018,74,32,14,151,16,151,O3,TIDAK SEHAT,DKI5
201807,22/07/2018,77,29,22,166,15,166,O3,TIDAK SEHAT,DKI5
201807,23/07/2018,63,25,23,191,22,191,O3,TIDAK SEHAT,DKI5
201807,24/07/2018,92,32,23,184,22,184,O3,TIDAK SEHAT,DKI5
201807,25/07/2018,75,29,23,153,17,153,O3,TIDAK SEHAT,DKI5
201807,26/07/2018,78,33,22,168,20,168,O3,TIDAK SEHAT,DKI5
201807,27/07/2018,86,31,19,197,18,197,O3,TIDAK SEHAT,DKI5
201807,28/07/2018,92,32,31,234,20,234,O3,SANGAT TIDAK SEHAT,DKI5
201807,29/07/2018,77,30,23,202,20,202,O3,SANGAT TIDAK SEHAT,DKI5
201807,30/07/2018,92,31,23,174,27,174,O3,TIDAK SEHAT,DKI5
201807,31/07/2018,79,29,22,156,21,156,O3,TIDAK SEHAT,DKI5
201808,01/08/2018,86,31,21,129,24,129,O3,TIDAK SEHAT,DKI5
201808,02/08/2018,68,31,18,207,20,207,O3,SANGAT TIDAK SEHAT,DKI5
201808,03/08/2018,68,32,16,211,17,211,O3,SANGAT TIDAK SEHAT,DKI2
201808,04/08/2018,59,31,16,194,16,194,O3,TIDAK SEHAT,DKI5
201808,05/08/2018,65,35,14,203,16,203,O3,SANGAT TIDAK SEHAT,DKI2
201808,06/08/2018,71,34,13,202,23,202,O3,SANGAT TIDAK SEHAT,DKI2
201808,07/08/2018,79,35,21,162,25,162,O3,TIDAK SEHAT,DKI5
201808,08/08/2018,92,33,28,144,29,144,O3,TIDAK SEHAT,DKI5
201808,09/08/2018,75,37,22,186,18,186,O3,TIDAK SEHAT,DKI5
