periode_data,tanggal,stasiun,pm10,pm2.5,so2,co,o3,no2,max,critical,kategori
201001,2010-01-01,DKI1,60,,4,73,27,14,73,CO,SEDANG
201001,2010-01-01,DKI2,---,,---,---,---,---,0,,TIDAK ADA DATA
201001,2010-01-01,DKI3,---,,---,---,---,---,0,,TIDAK ADA DATA
201001,2010-01-01,DKI4,---,,---,---,---,---,0,,TIDAK ADA DATA
201001,2010-01-01,DKI5,---,,---,---,---,---,0,,TIDAK ADA DATA
201002,2010-01-02,DKI1,41,,7,30,17,13,41,PM10,BAIK
201002,2010-01-02,DKI2,---,,---,---,---,---,0,,TIDAK ADA DATA
201002,2010-01-02,DKI3,---,,---,---,---,---,0,,TIDAK ADA DATA
201002,2010-01-02,DKI4,---,,---,---,---,---,0,,TIDAK ADA DATA
201002,2010-01-02,DKI5,---,,---,---,---,---,0,,TIDAK ADA DATA
201003,2010-01-03,DKI1,60,,5,39,44,19,60,PM10,SEDANG
201003,2010-01-03,DKI2,---,,---,---,---,---,0,,TIDAK ADA DATA
201003,2010-01-03,DKI3,---,,---,---,---,---,0,,TIDAK ADA DATA
201003,2010-01-03,DKI4,---,,---,---,---,---,0,,TIDAK ADA DATA
201003,2010-01-03,DKI5,---,,---,---,---,---,0,,TIDAK ADA DATA
201004,2010-01-04,DKI1,59,,5,46,---,21,59,PM10,SEDANG
201004,2010-01-04,DKI2,---,,---,---,---,---,0,,TIDAK ADA DATA
201004,2010-01-04,DKI3,---,,---,---,---,---,0,,TIDAK ADA DATA
201004,2010-01-04,DKI4,---,,---,---,---,---,0,,TIDAK ADA DATA
201004,2010-01-04,DKI5,---,,---,---,---,---,0,,TIDAK ADA DATA
201005,2010-01-05,DKI1,60,,---,24,28,10,60,PM10,SEDANG
201005,2010-01-05,DKI2,---,,---,---,---,---,0,,TIDAK ADA DATA
201005,2010-01-05,DKI3,---,,---,---,---,---,0,,TIDAK ADA DATA
201005,2010-01-05,DKI4,---,,---,---,---,---,0,,TIDAK ADA DATA
201005,2010-01-05,DKI5,---,,---,---,---,---,0,,TIDAK ADA DATA
201006,2010-01-06,DKI1,55,,20,35,31,20,55,PM10,SEDANG
201006,2010-01-06,DKI2,---,,---,---,---,---,0,,TIDAK ADA DATA
201006,2010-01-06,DKI3,---,,---,---,---,---,0,,TIDAK ADA DATA
201006,2010-01-06,DKI4,---,,---,---,---,---,0,,TIDAK ADA DATA
201006,2010-01-06,DKI5,---,,---,---,---,---,0,,TIDAK ADA DATA
201007,2010-01-07,DKI1,55,,21,25,27,12,55,PM10,SEDANG
201007,2010-01-07,DKI2,---,,---,---,---,---,0,,TIDAK ADA DATA
201007,2010-01-07,DKI3,---,,---,---,---,---,0,,TIDAK ADA DATA
201007,2010-01-07,DKI4,---,,---,---,---,---,0,,TIDAK ADA DATA
201007,2010-01-07,DKI5,---,,---,---,---,---,0,,TIDAK ADA DATA
201008,2010-01-08,DKI1,48,,12,19,47,25,48,PM10,BAIK
201008,2010-01-08,DKI2,---,,---,---,---,---,0,,TIDAK ADA DATA
201008,2010-01-08,DKI3,---,,---,---,---,---,0,,TIDAK ADA DATA
201008,2010-01-08,DKI4,---,,---,---,---,---,0,,TIDAK ADA DATA
201008,2010-01-08,DKI5,---,,---,---,---,---,0,,TIDAK ADA DATA
201009,2010-01-09,DKI1,53,,16,28,43,16,53,PM10,SEDANG
201009,2010-01-09,DKI2,---,,---,---,---,---,0,,TIDAK ADA DATA
201009,2010-01-09,DKI3,---,,---,---,---,---,0,,TIDAK ADA DATA
201009,2010-01-09,DKI4,---,,---,---,---,---,0,,TIDAK ADA DATA
201009,2010-01-09,DKI5,---,,---,---,---,---,0,,TIDAK ADA DATA
201010,2010-01-10,DKI1,54,,17,32,100,23,100,O3,SEDANG
201010,2010-01-10,DKI2,---,,---,---,---,---,0,,TIDAK ADA DATA
201010,2010-01-10,DKI3,---,,---,---,---,---,0,,TIDAK ADA DATA
201010,2010-01-10,DKI4,---,,---,---,---,---,0,,TIDAK ADA DATA
201010,2010-01-10,DKI5,---,,---,---,---,---,0,,TIDAK ADA DATA
201011,2010-01-11,DKI1,---,,---,---,---,---,0,,TIDAK ADA DATA
201011,2010-01-11,DKI2,---,,---,---,---,---,0,,TIDAK ADA DATA
201011,2010-01-11,DKI3,---,,---,---,---,---,0,,TIDAK ADA DATA
201011,2010-01-11,DKI4,---,,---,---,---,---,0,,TIDAK ADA DATA
201011,2010-01-11,DKI5,---,,---,---,---,---,0,,TIDAK ADA DATA
201012,2010-01-12,DKI1,28,,17,26,29,12,29,O3,BAIK
201012,2010-01-12,DKI2,10,,---,---,---,---,10,PM10,BAIK
