tanggal,stasiun_id,ndvi
2009-12-19,DKI5,0.3801
2010-01-01,DKI5,0.3705
2010-01-17,DKI5,0.4848
2010-02-02,DKI5,0.571
2010-02-18,DKI5,0.4308
2010-03-06,DKI5,0.4401
2010-03-22,DKI5,0.4132
2010-04-07,DKI5,0.462
2010-04-23,DKI5,0.3871
2010-05-09,DKI5,0.4338
2010-05-25,DKI5,0.4366
2010-06-10,DKI5,0.4432
2010-06-26,DKI5,0.4247
2010-07-12,DKI5,0.4309
2010-07-28,DKI5,0.4824
2010-08-13,DKI5,0.514
2010-08-29,DKI5,0.2775
2010-09-14,DKI5,0.4819
2010-09-30,DKI5,0.4535
2010-10-16,DKI5,0.3041
2010-11-01,DKI5,0.4951
2010-11-17,DKI5,0.4309
2010-12-03,DKI5,0.4619
2010-12-19,DKI5,0.2842
2011-01-01,DKI5,0.3815
2011-01-17,DKI5,0.1156
2011-02-02,DKI5,0.4401
2011-02-18,DKI5,0.3714
2011-03-06,DKI5,0.4115
2011-03-22,DKI5,0.3445
2011-04-07,DKI5,0.4772
2011-04-23,DKI5,0.4172
2011-05-09,DKI5,0.4373
2011-05-25,DKI5,0.4916
2011-06-10,DKI5,0.41
2011-06-26,DKI5,0.4669
2011-07-12,DKI5,0.3889
2011-07-28,DKI5,0.4029
2011-08-13,DKI5,0.3935
2011-08-29,DKI5,0.3873
2011-09-14,DKI5,0.3717
2011-09-30,DKI5,0.4165
2011-10-16,DKI5,0.4077
2011-11-01,DKI5,0.3821
2011-11-17,DKI5,0.5906
2011-12-03,DKI5,0.3719
2011-12-19,DKI5,0.3344
2012-01-01,DKI5,0.3812
2012-01-17,DKI5,0.2701
2012-02-02,DKI5,0.402
2012-02-18,DKI5,0.1617
2012-03-05,DKI5,0.351
2012-03-21,DKI5,0.4461
2012-04-06,DKI5,0.4589
2012-04-22,DKI5,0.2776
2012-05-08,DKI5,0.4116
2012-05-24,DKI5,0.4052
2012-06-09,DKI5,0.439
2012-06-25,DKI5,0.3872
2012-07-11,DKI5,0.374
2012-07-27,DKI5,0.3671
2012-08-12,DKI5,0.3297
2012-08-28,DKI5,0.2987
2012-09-13,DKI5,0.3168
2012-09-29,DKI5,0.2189
2012-10-15,DKI5,0.3018
2012-10-31,DKI5,0.1025
2012-11-16,DKI5,0.2041
2012-12-02,DKI5,0.3827
2012-12-18,DKI5,0.2606
2013-01-01,DKI5,0.2582
2013-01-17,DKI5,0.0564
2013-02-02,DKI5,0.3354
2013-02-18,DKI5,0.1632
2013-03-06,DKI5,0.4481
2013-03-22,DKI5,0.5148
2013-04-07,DKI5,0.5518
2013-04-23,DKI5,0.4152
2013-05-09,DKI5,0.363
2013-05-25,DKI5,0.3524
2013-06-10,DKI5,0.3877
2013-06-26,DKI5,0.3377
2013-07-12,DKI5,0.4664
2013-07-28,DKI5,0.3967
2013-08-13,DKI5,0.4157
2013-08-29,DKI5,0.2885
2013-09-14,DKI5,0.3558
2013-09-30,DKI5,0.3399
2013-10-16,DKI5,0.3914
2013-11-01,DKI5,0.1007
2013-11-17,DKI5,0.362
2013-12-03,DKI5,0.2198
2013-12-19,DKI5,0.1998
2014-01-01,DKI5,0.3567
2014-01-17,DKI5,0.3116
2014-02-02,DKI5,0.0829
2014-02-18,DKI5,0.3163
2014-03-06,DKI5,0.2266
2014-03-22,DKI5,0.3947
2014-04-07,DKI5,0.3336
2014-04-23,DKI5,0.3861
2014-05-09,DKI5,0.4856
2014-05-25,DKI5,0.358
2014-06-10,DKI5,0.4483
2014-06-26,DKI5,0.4486
2014-07-12,DKI5,0.3846
2014-07-28,DKI5,0.3412
2014-08-13,DKI5,0.3832
2014-08-29,DKI5,0.3485
2014-09-14,DKI5,0.3865
2014-09-30,DKI5,0.3287
2014-10-16,DKI5,0.3614
2014-11-01,DKI5,0.1358
2014-11-17,DKI5,0.2476
2014-12-03,DKI5,0.2967
2014-12-19,DKI5,0.5115
2015-01-01,DKI5,0.2992
2015-01-17,DKI5,0.1449
2015-02-02,DKI5,0.1764
2015-02-18,DKI5,0.47
2015-03-06,DKI5,0.4272
2015-03-22,DKI5,0.4254
