time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),precipitation_hours (h),wind_speed_10m_max (km/h),wind_direction_10m_dominant (°),shortwave_radiation_sum (MJ/m²),temperature_2m_mean (°C),relative_humidity_2m_mean (%),cloud_cover_mean (%),surface_pressure_mean (hPa),wind_gusts_10m_max (km/h),winddirection_10m_dominant (°),relative_humidity_2m_max (%),relative_humidity_2m_min (%),cloud_cover_max (%),cloud_cover_min (%),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),wind_gusts_10m_min (km/h),wind_speed_10m_min (km/h),surface_pressure_max (hPa),surface_pressure_min (hPa)
2010-01-01,29.4,24.4,4.00,14.0,16.0,246,16.24,26.6,81,100,1007.5,38.2,246,90,69,100,99,21.0,10.5,11.9,6.9,1009.3,1005.1
2010-01-02,30.8,24.0,6.50,4.0,14.7,238,19.80,26.9,82,99,1008.1,31.3,238,93,69,100,91,16.5,7.7,9.0,4.4,1009.9,1006.0
2010-01-03,30.4,24.3,7.60,11.0,12.6,244,17.32,26.7,83,97,1008.5,26.6,244,91,70,100,81,18.4,9.4,11.9,6.5,1010.5,1006.5
2010-01-04,30.3,25.4,0.90,5.0,19.3,239,20.43,27.4,81,69,1007.5,34.2,239,91,70,100,17,23.8,13.5,14.4,9.6,1009.1,1005.1
2010-01-05,29.9,24.8,14.30,7.0,15.9,247,15.86,26.4,83,100,1007.7,32.0,247,89,72,100,99,21.6,11.1,10.4,7.8,1009.1,1006.0
2010-01-06,29.2,23.8,13.20,10.0,16.2,236,17.02,26.2,83,99,1008.7,34.6,236,92,72,100,94,19.0,9.0,7.9,3.5,1010.3,1007.3
2010-01-07,30.2,24.3,3.40,5.0,11.8,246,21.24,26.9,81,83,1008.5,27.0,246,92,71,100,53,16.1,7.7,8.3,3.2,1009.8,1005.9
2010-01-08,27.0,23.9,14.00,19.0,12.7,302,10.73,25.1,90,99,1009.5,25.2,302,96,80,100,94,13.9,4.7,7.6,1.5,1011.2,1007.8
2010-01-09,28.4,23.5,22.40,20.0,9.3,275,13.24,25.2,89,100,1009.8,29.5,275,96,74,100,98,20.8,5.5,10.1,0.8,1011.7,1007.5
2010-01-10,28.2,23.2,7.70,18.0,12.9,282,16.77,25.8,85,94,1010.1,28.4,282,97,70,100,74,17.5,6.1,9.0,1.5,1011.7,1007.7
2010-01-11,29.4,23.8,6.20,7.0,14.0,262,18.32,26.2,84,88,1010.0,33.1,262,93,74,100,61,18.1,8.3,8.6,4.9,1011.5,1007.5
2010-01-12,28.3,23.9,11.10,13.0,19.8,257,15.44,25.6,84,100,1010.2,40.0,257,92,74,100,99,26.4,14.0,17.6,9.7,1012.0,1008.0
2010-01-13,26.5,23.6,14.00,24.0,14.5,263,8.86,24.7,90,98,1011.0,33.1,263,94,84,100,87,27.5,12.2,20.5,9.4,1012.9,1009.2
2010-01-14,27.8,23.5,9.70,22.0,20.3,271,18.26,25.1,86,86,1011.9,47.9,271,94,75,100,26,32.5,13.5,20.2,9.1,1013.4,1009.8
2010-01-15,26.8,23.6,8.20,20.0,13.0,268,8.60,24.7,88,89,1011.9,36.0,268,93,81,100,44,23.9,9.8,15.1,4.7,1013.5,1009.8
2010-01-16,28.3,23.5,8.70,15.0,16.9,268,17.79,25.5,85,91,1011.2,41.0,268,93,75,100,64,26.3,11.0,14.8,7.0,1012.3,1009.3
2010-01-17,28.4,23.6,3.80,19.0,17.6,272,19.55,25.5,85,67,1011.0,47.9,272,92,77,100,30,30.7,11.3,17.3,6.8,1012.4,1008.7
2010-01-18,28.5,24.0,3.20,17.0,15.9,287,20.33,25.9,85,82,1010.4,40.7,287,93,76,100,51,25.3,8.9,9.7,4.0,1011.9,1007.7
2010-01-19,27.2,23.7,21.00,23.0,16.6,299,15.30,25.2,88,94,1010.6,33.5,299,95,79,100,72,21.6,7.2,11.9,0.4,1012.3,1008.9
2010-01-20,28.8,23.0,6.60,14.0,12.3,254,19.67,25.4,89,97,1011.2,30.2,254,98,73,100,73,17.0,5.3,6.8,1.1,1012.7,1009.1
2010-01-21,29.6,23.9,11.60,8.0,13.4,262,19.13,26.1,85,97,1010.9,33.1,262,97,70,100,52,15.7,7.0,7.6,2.3,1012.2,1008.7
2010-01-22,29.3,23.9,12.70,13.0,13.7,253,18.13,25.7,87,99,1011.1,31.7,253,95,73,100,93,16.7,7.9,8.3,4.6,1012.6,1009.9
2010-01-23,29.3,23.7,17.00,17.0,12.3,252,16.63,25.9,86,90,1010.9,26.6,252,96,72,100,70,14.5,6.3,5.0,3.2,1012.1,1008.5
2010-01-24,28.8,23.0,3.20,10.0,16.0,270,20.92,26.0,87,81,1010.0,31.3,270,99,75,100,23,16.2,6.3,9.0,1.8,1012.1,1007.6
2010-01-25,27.1,23.6,6.50,16.0,13.0,301,12.51,25.6,88,99,1010.5,24.8,301,95,83,100,95,14.8,6.1,6.5,0.5,1012.3,1008.7
2010-01-26,28.5,23.6,6.00,13.0,12.9,286,20.10,25.9,86,90,1010.4,26.3,286,96,74,100,41,15.2,5.2,8.6,0.7,1012.2,1008.0
2010-01-27,29.4,23.2,9.10,14.0,12.9,286,20.44,25.9,87,90,1010.4,28.8,286,96,73,100,62,15.5,5.5,7.6,0.7,1011.7,1008.0
2010-01-28,29.0,23.7,13.10,14.0,12.8,285,18.90,25.9,86,96,1010.3,26.6,285,94,73,100,90,15.4,6.5,8.3,1.1,1012.1,1007.5
2010-01-29,28.9,23.5,9.50,11.0,13.8,279,19.67,26.0,86,93,1010.1,29.9,279,94,74,100,67,18.0,8.2,8.6,3.4,1012.0,1007.3
2010-01-30,27.9,23.5,13.30,20.0,13.2,294,12.64,25.3,90,100,1010.4,31.0,294,96,80,100,97,17.2,6.5,6.1,1.9,1012.3,1008.1
2010-01-31,28.0,23.6,8.70,21.0,13.2,300,11.93,25.7,87,100,1011.0,25.6,300,97,75,100,97,14.6,5.9,8.6,2.0,1012.1,1008.5
2010-02-01,28.9,24.2,6.90,14.0,9.5,260,13.01,26.2,85,99,1010.1,22.0,260,95,72,100,94,13.7,6.0,8.6,2.3,1011.9,1007.4
2010-02-02,30.4,23.7,3.40,4.0,13.6,244,22.18,26.8,84,83,1009.1,27.7,244,95,71,100,37,16.8,8.1,9.0,4.9,1010.9,1006.9
2010-02-03,30.1,24.1,7.90,11.0,10.3,262,20.89,26.6,86,98,1009.1,21.6,262,96,72,100,95,13.1,5.5,6.5,1.1,1010.8,1006.5
2010-02-04,29.7,23.8,15.10,13.0,11.3,202,21.18,26.1,88,79,1009.3,25.9,202,97,73,98,24,12.9,4.9,7.2,2.2,1010.9,1006.4
2010-02-05,28.6,24.2,11.40,14.0,11.7,298,15.57,25.8,89,99,1010.0,25.9,298,97,78,100,96,12.2,4.5,6.5,0.4,1011.9,1007.9
2010-02-06,28.1,23.9,6.20,11.0,8.9,253,12.73,26.1,85,100,1011.3,22.3,253,96,76,100,97,12.7,5.4,5.0,2.3,1012.6,1009.6
2010-02-07,29.4,23.5,6.30,11.0,9.8,89,21.72,26.4,86,76,1010.7,23.0,89,97,74,100,25,11.8,5.1,5.8,1.1,1012.6,1008.1
2010-02-08,28.9,24.0,8.90,15.0,9.9,52,19.06,26.2,87,88,1010.1,25.2,52,96,79,99,57,12.9,4.7,5.8,0.4,1011.9,1007.3
2010-02-09,29.9,24.5,9.80,16.0,12.7,80,20.67,26.5,86,87,1009.7,26.6,80,96,72,99,34,14.4,6.0,7.2,2.9,1011.4,1007.4
2010-02-10,30.7,24.4,3.40,6.0,11.4,86,23.26,27.2,84,71,1009.6,25.9,86,96,70,97,18,13.9,5.7,6.8,2.5,1011.3,1007.0
2010-02-11,30.5,24.1,6.20,9.0,9.0,57,22.12,27.0,85,95,1010.2,22.3,57,98,72,100,77,12.7,4.7,5.8,0.7,1011.8,1008.3
2010-02-12,29.3,24.7,11.10,12.0,12.8,359,21.38,26.9,87,90,1010.1,28.8,359,96,77,99,57,13.5,4.7,7.2,0.4,1011.8,1007.9
2010-02-13,27.9,24.3,17.70,20.0,10.6,341,14.54,25.9,90,99,1009.3,29.9,341,97,82,100,95,14.2,3.6,5.4,0.5,1011.2,1007.0
2010-02-14,27.8,23.8,7.90,16.0,7.9,277,11.67,25.8,89,100,1009.6,24.5,277,97,80,100,99,14.4,4.1,4.7,0.7,1012.0,1007.6
2010-02-15,30.0,23.4,17.30,12.0,11.3,272,21.30,26.5,85,86,1009.3,25.2,272,96,69,100,33,12.8,4.8,6.5,1.1,1011.3,1006.9
2010-02-16,29.1,23.8,14.20,22.0,10.9,296,17.75,26.2,89,90,1010.0,25.9,296,97,76,100,56,11.9,4.2,4.3,0.8,1011.5,1008.0
2010-02-17,28.9,24.4,8.60,20.0,11.0,295,16.24,26.2,89,92,1009.7,23.0,295,96,80,100,71,13.2,5.3,5.8,1.5,1011.1,1007.6
