time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),precipitation_hours (h),wind_speed_10m_max (km/h),wind_direction_10m_dominant (°),shortwave_radiation_sum (MJ/m²),temperature_2m_mean (°C),relative_humidity_2m_mean (%),cloud_cover_mean (%),surface_pressure_mean (hPa),wind_gusts_10m_max (km/h),winddirection_10m_dominant (°),relative_humidity_2m_max (%),relative_humidity_2m_min (%),cloud_cover_max (%),cloud_cover_min (%),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),wind_gusts_10m_min (km/h),wind_speed_10m_min (km/h),surface_pressure_max (hPa),surface_pressure_min (hPa)
2010-01-01,29.4,24.6,5.20,10.0,16.5,255,16.85,26.7,81,100,1007.1,38.2,255,89,69,100,99,21.1,10.6,11.9,7.4,1009.0,1004.9
2010-01-02,30.7,24.0,12.70,6.0,13.3,245,19.90,27.0,82,99,1007.9,28.4,245,93,67,100,93,15.1,6.3,7.6,4.0,1009.7,1006.0
2010-01-03,30.6,24.3,10.20,8.0,11.0,252,19.53,26.8,83,95,1008.3,25.6,252,91,69,100,72,17.3,8.4,10.4,5.6,1010.3,1006.2
2010-01-04,30.2,25.3,4.40,6.0,17.6,247,21.47,27.5,81,67,1007.1,32.8,247,91,70,100,15,22.3,12.1,14.8,9.5,1008.8,1004.9
2010-01-05,29.9,24.9,14.20,10.0,15.5,256,16.82,26.5,83,100,1007.3,32.4,256,89,72,100,99,20.9,10.2,13.0,6.8,1008.9,1005.9
2010-01-06,29.1,23.8,11.40,10.0,13.7,239,18.17,26.3,83,99,1008.5,32.4,239,93,72,100,96,18.0,7.4,6.5,2.1,1010.1,1007.1
2010-01-07,30.3,24.3,3.20,7.0,11.9,255,22.27,26.9,81,87,1008.2,26.6,255,92,71,100,45,14.5,6.7,6.5,2.3,1009.6,1005.7
2010-01-08,26.9,23.9,14.60,21.0,13.4,302,10.09,25.1,90,100,1009.3,26.3,302,96,80,100,96,14.8,5.9,6.1,1.1,1011.0,1007.6
2010-01-09,28.4,23.5,21.80,20.0,11.7,278,14.17,25.1,89,100,1009.6,33.1,278,96,75,100,98,22.7,7.2,9.0,2.3,1011.5,1007.3
2010-01-10,28.2,23.1,7.70,17.0,15.2,285,17.79,25.8,84,89,1009.9,32.0,285,97,69,100,54,19.0,8.1,10.1,2.8,1011.4,1007.5
2010-01-11,29.4,23.9,7.30,7.0,15.1,273,18.71,26.2,84,87,1009.7,35.6,273,93,73,100,56,19.4,8.9,10.8,5.5,1011.3,1007.4
2010-01-12,28.4,23.9,12.80,13.0,20.7,266,16.32,25.7,84,100,1009.8,43.6,266,92,73,100,99,27.0,14.3,17.3,10.4,1011.8,1007.7
