time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),precipitation_hours (h),wind_speed_10m_max (km/h),wind_direction_10m_dominant (°),shortwave_radiation_sum (MJ/m²),temperature_2m_mean (°C),relative_humidity_2m_mean (%),cloud_cover_mean (%),surface_pressure_mean (hPa),wind_gusts_10m_max (km/h),winddirection_10m_dominant (°),relative_humidity_2m_max (%),relative_humidity_2m_min (%),cloud_cover_max (%),cloud_cover_min (%),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),wind_gusts_10m_min (km/h),wind_speed_10m_min (km/h),surface_pressure_max (hPa),surface_pressure_min (hPa)
2010-01-01,29.4,24.4,4.00,14.0,16.0,246,16.24,26.5,81,100,1006.5,38.2,246,90,69,100,99,21.0,10.5,11.9,6.9,1008.4,1004.2
2010-01-02,30.7,23.9,6.50,4.0,14.7,238,19.80,26.9,82,99,1007.2,31.3,238,93,69,100,91,16.5,7.7,9.0,4.4,1009.0,1005.1
2010-01-03,30.4,24.3,7.60,11.0,12.6,244,17.32,26.7,83,97,1007.6,26.6,244,91,70,100,81,18.4,9.4,11.9,6.5,1009.6,1005.6
2010-01-04,30.2,25.3,0.90,5.0,19.3,239,20.43,27.3,81,69,1006.6,34.2,239,91,70,100,17,23.8,13.5,14.4,9.6,1008.2,1004.2
2010-01-05,29.8,24.8,14.30,7.0,15.9,247,15.86,26.4,83,100,1006.7,32.0,247,89,72,100,99,21.6,11.1,10.4,7.8,1008.2,1005.1
2010-01-06,29.2,23.7,13.20,10.0,16.2,236,17.02,26.2,83,99,1007.8,34.6,236,92,72,100,94,19.0,9.0,7.9,3.5,1009.4,1006.4
2010-01-07,30.2,24.3,3.40,5.0,11.8,246,21.24,26.8,81,83,1007.5,27.0,246,92,71,100,53,16.1,7.7,8.3,3.2,1008.9,1005.0
2010-01-08,26.9,23.9,14.00,19.0,12.7,302,10.73,25.1,90,99,1008.6,25.2,302,96,80,100,94,13.9,4.7,7.6,1.5,1010.3,1006.9
2010-01-09,28.4,23.4,22.40,20.0,9.3,275,13.24,25.1,89,100,1008.9,29.5,275,96,74,100,98,20.8,5.5,10.1,0.8,1010.8,1006.6
2010-01-10,28.2,23.1,7.70,18.0,12.9,282,16.77,25.7,85,94,1009.2,28.4,282,97,70,100,74,17.5,6.1,9.0,1.5,1010.8,1006.8
2010-01-11,29.4,23.8,6.20,7.0,14.0,262,18.32,26.1,84,88,1009.1,33.1,262,93,74,100,61,18.1,8.3,8.6,4.9,1010.6,1006.6
2010-01-12,28.3,23.8,11.10,13.0,19.8,257,15.44,25.6,84,100,1009.3,40.0,257,92,74,100,99,26.4,14.0,17.6,9.7,1011.1,1007.1
2010-01-13,26.4,23.6,14.00,24.0,14.5,263,8.86,24.6,90,98,1010.1,33.1,263,94,84,100,87,27.5,12.2,20.5,9.4,1012.0,1008.3
2010-01-14,27.7,23.5,9.70,22.0,20.3,271,18.26,25.1,86,86,1011.0,47.9,271,94,75,100,26,32.5,13.5,20.2,9.1,1012.5,1008.9
