stasiun,tahun,jumlah_penduduk
DKI1,2013,906601
DKI1,2014,910381
DKI1,2015,914182
DKI1,2016,917754
DKI1,2017,921344
DKI1,2018,924686
DKI1,2019,928109
DKI1,2020,1056896
DKI1,2021,1057465
DKI1,2022,1053482
DKI1,2023,1049314
DKI2,2013,1711036
DKI2,2014,1729444
DKI2,2015,1747315
DKI2,2016,1764614
DKI2,2017,1781316
DKI2,2018,1797292
DKI2,2019,1812915
DKI2,2020,1778981
DKI2,2021,1788981
DKI2,2022,1799220
DKI2,2023,1808985
DKI3,2013,2141941
DKI3,2014,2164070
DKI3,2015,2185711
DKI3,2016,2206732
DKI3,2017,2226830
DKI3,2018,2246137
DKI3,2019,2264699
DKI3,2020,2226812
DKI3,2021,2232442
DKI3,2022,2234262
DKI3,2023,2235606
DKI4,2013,2791072
DKI4,2014,2817994
DKI4,2015,2843816
DKI4,2016,2868910
DKI4,2017,2892783
DKI4,2018,2916018
DKI4,2019,2937859
DKI4,2020,3037139
DKI4,2021,3051866
DKI4,2022,3066074
DKI4,2023,3079618
DKI5,2013,2396585
DKI5,2014,2430410
DKI5,2015,2463560
DKI5,2016,2496002
DKI5,2017,2528065
DKI5,2018,2559362
DKI5,2019,2589933
DKI5,2020,2434511
DKI5,2021,2446687
DKI5,2022,2458707
DKI5,2023,2470054
