periode_data,periode_pemantauan,bulan_sampling,titik_sampel,nama_sungai,alamat,latitude,longitude,jenis_parameter,parameter,baku_mutu,hasil_pengukuran
2024,Periode 2,5,KLT 3,Kalibaru Timur,Jl. Raya Bogor Komseko,-6.286182,106.870626,Kimia,pH,6.9,7.11
2024,Periode 2,5,KLT 3,Kalibaru Timur,Jl. Raya Bogor Komseko,-6.286182,106.870626,Kimia,BOD,3.0,13.0
2024,Periode 2,5,KLT 3,Kalibaru Timur,Jl. Raya Bogor Komseko,-6.286182,106.870626,Kimia,COD,25.0,41.0
2024,Periode 2,5,KLT 3,Kalibaru Timur,Jl. Raya Bogor Komseko,-6.286182,106.870626,Kimia,DO,4.0,5.6
2024,Periode 2,5,KLT 3,Kalibaru Timur,Jl. Raya Bogor Komseko,-6.286182,106.870626,Kimia,Nitrat,10.0,2.0
2024,Periode 2,5,KLT 3,Kalibaru Timur,Jl. Raya Bogor Komseko,-6.286182,106.870626,Kimia,Nitrit,0.06,0.1
2024,Periode 2,5,KLT 3,Kalibaru Timur,Jl. Raya Bogor Komseko,-6.286182,106.870626,Kimia,Total P,0.2,0.2
2024,Periode 2,5,KLT 3,Kalibaru Timur,Jl. Raya Bogor Komseko,-6.286182,106.870626,Kimia,F,1.5,0.01
2024,Periode 2,5,KLT 3,Kalibaru Timur,Jl. Raya Bogor Komseko,-6.286182,106.870626,Kimia,H2S,0.002,0.002
2024,Periode 2,5,KLT 3,Kalibaru Timur,Jl. Raya Bogor Komseko,-6.286182,106.870626,Kimia,Klorin Bebas,0.03,0.03
2024,Periode 2,5,KLT 6,Kalibaru Timur,Jl. Bunga Matraman Jatinegara,-6.211243889,106.8619619,Kimia,Fenol,0.005,0.0009
2024,Periode 2,5,PSG 4,Pesanggrahan,Jl. H Kelik Hutan Kota,-6.208616,106.764814,Kimia,Cd,0.01,0.0009
2024,Periode 2,5,KLT 3,Kalibaru Timur,Jl. Raya Bogor Komseko,-6.286182,106.870626,Kimia,Zn,0.05,0.006
2024,Periode 2,5,KLT 3,Kalibaru Timur,Jl. Raya Bogor Komseko,-6.286182,106.870626,Kimia,Cu,0.02,0.06
2024,Periode 2,5,KLT 3,Kalibaru Timur,Jl. Raya Bogor Komseko,-6.286182,106.870626,Kimia,Pb,0.03,0.002
2024,Periode 2,5,KLT 3,Kalibaru Timur,Jl. Raya Bogor Komseko,-6.286182,106.870626,Kimia,Cr6,0.05,0.001
2024,Periode 2,5,KLT 3,Kalibaru Timur,Jl. Raya Bogor Komseko,-6.286182,106.870626,Kimia,Minyak dan Lemak,1.0,0.2
2024,Periode 2,5,KLT 3,Kalibaru Timur,Jl. Raya Bogor Komseko,-6.286182,106.870626,Kimia,MBAS,0.2,0.01
2024,Periode 2,5,PSG 4,Pesanggrahan,Jl. H Kelik Hutan Kota,-6.208616,106.764814,Kimia,Fenol,0.005,0.0009
2024,Periode 2,5,KLT 3,Kalibaru Timur,Jl. Raya Bogor Komseko,-6.286182,106.870626,Biologi,Total Coliform,5000.0,2950.0
2024,Periode 2,5,KLT 3,Kalibaru Timur,Jl. Raya Bogor Komseko,-6.286182,106.870626,Biologi,Fecal Coliform,1000.0,860.0
2024,Periode 2,5,KLT 3,Kalibaru Timur,Jl. Raya Bogor Komseko,-6.286182,106.870626,Fisika,Warna,50.0,10.0
2024,Periode 2,5,KLT 3,Kalibaru Timur,Jl. Raya Bogor Komseko,-6.286182,106.870626,Kimia,Sulfat,300.0,8.83
2024,Periode 2,5,KLT 3,Kalibaru Timur,Jl. Raya Bogor Komseko,-6.286182,106.870626,Kimia,Klorida,300.0,11.0
2024,Periode 2,5,KLT 3,Kalibaru Timur,Jl. Raya Bogor Komseko,-6.286182,106.870626,Kimia,Amoniak,0.2,0.2
2024,Periode 2,5,KLT 3,Kalibaru Timur,Jl. Raya Bogor Komseko,-6.286182,106.870626,Kimia,Total N,15.0,7.2886
2024,Periode 2,5,KLT 3,Kalibaru Timur,Jl. Raya Bogor Komseko,-6.286182,106.870626,Kimia,Ni,0.05,0.03
2024,Periode 2,5,KLT 3,Kalibaru Timur,Jl. Raya Bogor Komseko,-6.286182,106.870626,Kimia,Sianida,0.02,0.01
2024,Periode 2,5,KLT 4,Kalibaru Timur,Jl. SMA 14,-6.255905469,106.8649615,Fisika,TDS,1000.0,136.0
2024,Periode 2,5,KLT 4,Kalibaru Timur,Jl. SMA 14,-6.255905469,106.8649615,Fisika,TSS,50.0,84.0
2024,Periode 2,5,KLT 4,Kalibaru Timur,Jl. SMA 14,-6.255905469,106.8649615,Kimia,pH,6.9,6.82
2024,Periode 2,5,KLT 4,Kalibaru Timur,Jl. SMA 14,-6.255905469,106.8649615,Kimia,BOD,3.0,33.0
2024,Periode 2,5,KLT 4,Kalibaru Timur,Jl. SMA 14,-6.255905469,106.8649615,Kimia,COD,25.0,110.0
2024,Periode 2,5,KLT 4,Kalibaru Timur,Jl. SMA 14,-6.255905469,106.8649615,Kimia,DO,4.0,5.2
2024,Periode 2,5,KLT 4,Kalibaru Timur,Jl. SMA 14,-6.255905469,106.8649615,Kimia,Nitrat,10.0,2.0
2024,Periode 2,5,KLT 4,Kalibaru Timur,Jl. SMA 14,-6.255905469,106.8649615,Kimia,Nitrit,0.06,0.09
2024,Periode 2,5,KLT 4,Kalibaru Timur,Jl. SMA 14,-6.255905469,106.8649615,Kimia,Total P,0.2,0.3
2024,Periode 2,5,KLT 4,Kalibaru Timur,Jl. SMA 14,-6.255905469,106.8649615,Kimia,F,1.5,0.01
2024,Periode 2,5,KLT 4,Kalibaru Timur,Jl. SMA 14,-6.255905469,106.8649615,Kimia,H2S,0.002,0.002
2024,Periode 2,5,SPK 3,Sepak,Jl. Inspeksi Cengkareng Drain Taman Kota,-6.166694,106.747964,Kimia,Cd,0.01,0.0009
2024,Periode 2,5,PSG 1,Pesanggrahan,Jl. Raya Ciputat Pasar Jumat Asrama Polisi,-6.290602,106.766668,Biologi,Total Coliform,5000.0,4100.0
2024,Periode 2,5,PSG 1,Pesanggrahan,Jl. Raya Ciputat Pasar Jumat Asrama Polisi,-6.290602,106.766668,Biologi,Fecal Coliform,1000.0,520.0
