periode_data,tanggal,stasiun,pm10,pm2.5,so2,co,o3,no2,max,critical,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),precipitation_hours (h),wind_speed_10m_max (km/h),wind_direction_10m_dominant (°),shortwave_radiation_sum (MJ/m²),temperature_2m_mean (°C),relative_humidity_2m_mean (%),cloud_cover_mean (%),surface_pressure_mean (hPa),wind_gusts_10m_max (km/h),winddirection_10m_dominant (°),relative_humidity_2m_max (%),relative_humidity_2m_min (%),cloud_cover_max (%),cloud_cover_min (%),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),wind_gusts_10m_min (km/h),wind_speed_10m_min (km/h),surface_pressure_max (hPa),surface_pressure_min (hPa),ndvi,kategori
201001,2010-01-01,DKI1,60.0,,4.0,73.0,27.0,14.0,73,CO,29.4,24.4,4.0,14.0,16.0,246,16.24,26.6,81,100,1007.5,38.2,246,90,69,100,99,21.0,10.5,11.9,6.9,1009.3,1005.1,0.2023,SEDANG
201001,2010-01-01,DKI2,,,,,,,0,,29.4,24.6,5.2,10.0,16.5,255,16.85,26.7,81,100,1007.1,38.2,255,89,69,100,99,21.1,10.6,11.9,7.4,1009.0,1004.9,0.0939,TIDAK ADA DATA
201001,2010-01-01,DKI3,,,,,,,0,,29.8,23.7,4.0,14.0,16.0,246,16.24,26.1,85,100,999.9,38.2,246,94,71,100,99,21.0,10.5,11.9,6.9,1001.8,997.6,0.5332,TIDAK ADA DATA
201001,2010-01-01,DKI4,,,,,,,0,,29.9,24.1,5.2,10.0,16.5,255,16.85,26.5,83,100,1003.9,38.2,255,91,70,100,99,21.1,10.6,11.9,7.4,1005.8,1001.7,0.5126,TIDAK ADA DATA
201001,2010-01-01,DKI5,,,,,,,0,,29.4,24.4,4.0,14.0,16.0,246,16.24,26.5,81,100,1006.5,38.2,246,90,69,100,99,21.0,10.5,11.9,6.9,1008.4,1004.2,0.3705,TIDAK ADA DATA
201002,2010-01-02,DKI1,41.0,,7.0,30.0,17.0,13.0,41,PM10,30.8,24.0,6.5,4.0,14.7,238,19.8,26.9,82,99,1008.1,31.3,238,93,69,100,91,16.5,7.7,9.0,4.4,1009.9,1006.0,,BAIK
201002,2010-01-02,DKI2,,,,,,,0,,30.7,24.0,12.7,6.0,13.3,245,19.9,27.0,82,99,1007.9,28.4,245,93,67,100,93,15.1,6.3,7.6,4.0,1009.7,1006.0,,TIDAK ADA DATA
201002,2010-01-02,DKI3,,,,,,,0,,30.9,22.8,6.5,4.0,14.7,238,19.8,26.3,85,99,1000.5,31.3,238,97,69,100,91,16.5,7.7,9.0,4.4,1002.3,998.5,,TIDAK ADA DATA
201002,2010-01-02,DKI4,,,,,,,0,,31.1,23.1,12.7,6.0,13.3,245,19.9,26.7,84,99,1004.6,28.4,245,96,68,100,93,15.1,6.3,7.6,4.0,1006.5,1002.8,,TIDAK ADA DATA
201002,2010-01-02,DKI5,,,,,,,0,,30.7,23.9,6.5,4.0,14.7,238,19.8,26.9,82,99,1007.2,31.3,238,93,69,100,91,16.5,7.7,9.0,4.4,1009.0,1005.1,,TIDAK ADA DATA
201003,2010-01-03,DKI1,60.0,,5.0,39.0,44.0,19.0,60,PM10,30.4,24.3,7.6,11.0,12.6,244,17.32,26.7,83,97,1008.5,26.6,244,91,70,100,81,18.4,9.4,11.9,6.5,1010.5,1006.5,,SEDANG
201003,2010-01-03,DKI2,,,,,,,0,,30.6,24.3,10.2,8.0,11.0,252,19.53,26.8,83,95,1008.3,25.6,252,91,69,100,72,17.3,8.4,10.4,5.6,1010.3,1006.2,,TIDAK ADA DATA
201003,2010-01-03,DKI3,,,,,,,0,,30.5,23.5,7.6,11.0,12.6,244,17.32,26.2,86,97,1001.0,26.6,244,95,69,100,81,18.4,9.4,11.9,6.5,1003.0,999.0,,TIDAK ADA DATA
201003,2010-01-03,DKI4,,,,,,,0,,30.9,23.7,10.2,8.0,11.0,252,19.53,26.6,84,95,1005.0,25.6,252,94,68,100,72,17.3,8.4,10.4,5.6,1007.1,1003.0,,TIDAK ADA DATA
201003,2010-01-03,DKI5,,,,,,,0,,30.4,24.3,7.6,11.0,12.6,244,17.32,26.7,83,97,1007.6,26.6,244,91,70,100,81,18.4,9.4,11.9,6.5,1009.6,1005.6,,TIDAK ADA DATA
201004,2010-01-04,DKI1,59.0,,5.0,46.0,,21.0,59,PM10,30.3,25.4,0.9,5.0,19.3,239,20.43,27.4,81,69,1007.5,34.2,239,91,70,100,17,23.8,13.5,14.4,9.6,1009.1,1005.1,,SEDANG
201004,2010-01-04,DKI2,,,,,,,0,,30.2,25.3,4.4,6.0,17.6,247,21.47,27.5,81,67,1007.1,32.8,247,91,70,100,15,22.3,12.1,14.8,9.5,1008.8,1004.9,,TIDAK ADA DATA
201004,2010-01-04,DKI3,,,,,,,0,,30.1,24.4,0.9,5.0,19.3,239,20.43,26.9,83,69,1000.0,34.2,239,94,71,100,17,23.8,13.5,14.4,9.6,1001.6,997.7,,TIDAK ADA DATA
201004,2010-01-04,DKI4,,,,,,,0,,30.4,24.8,4.4,6.0,17.6,247,21.47,27.4,81,67,1003.9,32.8,247,92,69,100,15,22.3,12.1,14.8,9.5,1005.6,1001.7,,TIDAK ADA DATA
201004,2010-01-04,DKI5,,,,,,,0,,30.2,25.3,0.9,5.0,19.3,239,20.43,27.3,81,69,1006.6,34.2,239,91,70,100,17,23.8,13.5,14.4,9.6,1008.2,1004.2,,TIDAK ADA DATA
201005,2010-01-05,DKI1,60.0,,,24.0,28.0,10.0,60,PM10,29.9,24.8,14.3,7.0,15.9,247,15.86,26.4,83,100,1007.7,32.0,247,89,72,100,99,21.6,11.1,10.4,7.8,1009.1,1006.0,,SEDANG
201005,2010-01-05,DKI2,,,,,,,0,,29.9,24.9,14.2,10.0,15.5,256,16.82,26.5,83,100,1007.3,32.4,256,89,72,100,99,20.9,10.2,13.0,6.8,1008.9,1005.9,,TIDAK ADA DATA
201005,2010-01-05,DKI3,,,,,,,0,,30.5,24.2,14.3,7.0,15.9,247,15.86,26.1,85,100,1000.1,32.0,247,92,70,100,99,21.6,11.1,10.4,7.8,1001.5,998.5,,TIDAK ADA DATA
201005,2010-01-05,DKI4,,,,,,,0,,30.7,24.6,14.2,10.0,15.5,256,16.82,26.5,84,100,1004.1,32.4,256,91,70,100,99,20.9,10.2,13.0,6.8,1005.7,1002.7,,TIDAK ADA DATA
201005,2010-01-05,DKI5,,,,,,,0,,29.8,24.8,14.3,7.0,15.9,247,15.86,26.4,83,100,1006.7,32.0,247,89,72,100,99,21.6,11.1,10.4,7.8,1008.2,1005.1,,TIDAK ADA DATA
201006,2010-01-06,DKI1,55.0,,20.0,35.0,31.0,20.0,55,PM10,29.2,23.8,13.2,10.0,16.2,236,17.02,26.2,83,99,1008.7,34.6,236,92,72,100,94,19.0,9.0,7.9,3.5,1010.3,1007.3,,SEDANG
201006,2010-01-06,DKI2,,,,,,,0,,29.1,23.8,11.4,10.0,13.7,239,18.17,26.3,83,99,1008.5,32.4,239,93,72,100,96,18.0,7.4,6.5,2.1,1010.1,1007.1,,TIDAK ADA DATA
201006,2010-01-06,DKI3,,,,,,,0,,29.3,22.8,13.2,10.0,16.2,236,17.02,25.6,87,99,1001.1,34.6,236,96,73,100,94,19.0,9.0,7.9,3.5,1002.7,999.8,,TIDAK ADA DATA
201006,2010-01-06,DKI4,,,,,,,0,,29.6,23.2,11.4,10.0,13.7,239,18.17,26.0,85,99,1005.3,32.4,239,95,72,100,96,18.0,7.4,6.5,2.1,1006.9,1003.9,,TIDAK ADA DATA
201006,2010-01-06,DKI5,,,,,,,0,,29.2,23.7,13.2,10.0,16.2,236,17.02,26.2,83,99,1007.8,34.6,236,92,72,100,94,19.0,9.0,7.9,3.5,1009.4,1006.4,,TIDAK ADA DATA
201007,2010-01-07,DKI1,55.0,,21.0,25.0,27.0,12.0,55,PM10,30.2,24.3,3.4,5.0,11.8,246,21.24,26.9,81,83,1008.5,27.0,246,92,71,100,53,16.1,7.7,8.3,3.2,1009.8,1005.9,,SEDANG
201007,2010-01-07,DKI2,,,,,,,0,,30.3,24.3,3.2,7.0,11.9,255,22.27,26.9,81,87,1008.2,26.6,255,92,71,100,45,14.5,6.7,6.5,2.3,1009.6,1005.7,,TIDAK ADA DATA
201007,2010-01-07,DKI3,,,,,,,0,,30.3,23.2,3.4,5.0,11.8,246,21.24,26.2,84,83,1000.9,27.0,246,97,71,100,53,16.1,7.7,8.3,3.2,1002.3,998.4,,TIDAK ADA DATA
201007,2010-01-07,DKI4,,,,,,,0,,30.8,23.7,3.2,7.0,11.9,255,22.27,26.6,83,87,1005.0,26.6,255,96,70,100,45,14.5,6.7,6.5,2.3,1006.4,1002.5,,TIDAK ADA DATA
201007,2010-01-07,DKI5,,,,,,,0,,30.2,24.3,3.4,5.0,11.8,246,21.24,26.8,81,83,1007.5,27.0,246,92,71,100,53,16.1,7.7,8.3,3.2,1008.9,1005.0,,TIDAK ADA DATA
201008,2010-01-08,DKI1,48.0,,12.0,19.0,47.0,25.0,48,PM10,27.0,23.9,14.0,19.0,12.7,302,10.73,25.1,90,99,1009.5,25.2,302,96,80,100,94,13.9,4.7,7.6,1.5,1011.2,1007.8,,BAIK
201008,2010-01-08,DKI2,,,,,,,0,,26.9,23.9,14.6,21.0,13.4,302,10.09,25.1,90,100,1009.3,26.3,302,96,80,100,96,14.8,5.9,6.1,1.1,1011.0,1007.6,,TIDAK ADA DATA
201008,2010-01-08,DKI3,,,,,,,0,,27.5,22.9,14.0,19.0,12.7,302,10.73,24.6,92,99,1001.9,25.2,302,99,78,100,94,13.9,4.7,7.6,1.5,1003.6,1000.2,,TIDAK ADA DATA
201008,2010-01-08,DKI4,,,,,,,0,,27.4,23.5,14.6,21.0,13.4,302,10.09,24.9,91,100,1006.0,26.3,302,98,79,100,96,14.8,5.9,6.1,1.1,1007.7,1004.3,,TIDAK ADA DATA
201008,2010-01-08,DKI5,,,,,,,0,,26.9,23.9,14.0,19.0,12.7,302,10.73,25.1,90,99,1008.6,25.2,302,96,80,100,94,13.9,4.7,7.6,1.5,1010.3,1006.9,,TIDAK ADA DATA
201009,2010-01-09,DKI1,53.0,,16.0,28.0,43.0,16.0,53,PM10,28.4,23.5,22.4,20.0,9.3,275,13.24,25.2,89,100,1009.8,29.5,275,96,74,100,98,20.8,5.5,10.1,0.8,1011.7,1007.5,,SEDANG
201009,2010-01-09,DKI2,,,,,,,0,,28.4,23.5,21.8,20.0,11.7,278,14.17,25.1,89,100,1009.6,33.1,278,96,75,100,98,22.7,7.2,9.0,2.3,1011.5,1007.3,,TIDAK ADA DATA
201009,2010-01-09,DKI3,,,,,,,0,,28.0,22.9,22.4,20.0,9.3,275,13.24,24.7,90,100,1002.2,29.5,275,99,75,100,98,20.8,5.5,10.1,0.8,1004.1,1000.0,,TIDAK ADA DATA
201009,2010-01-09,DKI4,,,,,,,0,,28.6,23.2,21.8,20.0,11.7,278,14.17,25.0,90,100,1006.3,33.1,278,99,74,100,98,22.7,7.2,9.0,2.3,1008.2,1004.1,,TIDAK ADA DATA
201009,2010-01-09,DKI5,,,,,,,0,,28.4,23.4,22.4,20.0,9.3,275,13.24,25.1,89,100,1008.9,29.5,275,96,74,100,98,20.8,5.5,10.1,0.8,1010.8,1006.6,,TIDAK ADA DATA
201010,2010-01-10,DKI1,54.0,,17.0,32.0,100.0,23.0,100,O3,28.2,23.2,7.7,18.0,12.9,282,16.77,25.8,85,94,1010.1,28.4,282,97,70,100,74,17.5,6.1,9.0,1.5,1011.7,1007.7,,SEDANG
201010,2010-01-10,DKI2,,,,,,,0,,28.2,23.1,7.7,17.0,15.2,285,17.79,25.8,84,89,1009.9,32.0,285,97,69,100,54,19.0,8.1,10.1,2.8,1011.4,1007.5,,TIDAK ADA DATA
201010,2010-01-10,DKI3,,,,,,,0,,28.1,22.6,7.7,18.0,12.9,282,16.77,25.2,87,94,1002.5,28.4,282,98,72,100,74,17.5,6.1,9.0,1.5,1004.1,1000.2,,TIDAK ADA DATA
201010,2010-01-10,DKI4,,,,,,,0,,28.4,22.7,7.7,17.0,15.2,285,17.79,25.6,85,89,1006.7,32.0,285,98,69,100,54,19.0,8.1,10.1,2.8,1008.2,1004.3,,TIDAK ADA DATA
201010,2010-01-10,DKI5,,,,,,,0,,28.2,23.1,7.7,18.0,12.9,282,16.77,25.7,85,94,1009.2,28.4,282,97,70,100,74,17.5,6.1,9.0,1.5,1010.8,1006.8,,TIDAK ADA DATA
201011,2010-01-11,DKI1,,,,,,,0,,29.4,23.8,6.2,7.0,14.0,262,18.32,26.2,84,88,1010.0,33.1,262,93,74,100,61,18.1,8.3,8.6,4.9,1011.5,1007.5,,TIDAK ADA DATA
201011,2010-01-11,DKI2,,,,,,,0,,29.4,23.9,7.3,7.0,15.1,273,18.71,26.2,84,87,1009.7,35.6,273,93,73,100,56,19.4,8.9,10.8,5.5,1011.3,1007.4,,TIDAK ADA DATA
201011,2010-01-11,DKI3,,,,,,,0,,29.4,22.7,6.2,7.0,14.0,262,18.32,25.6,86,88,1002.4,33.1,262,97,73,100,61,18.1,8.3,8.6,4.9,1003.9,1000.0,,TIDAK ADA DATA
201011,2010-01-11,DKI4,,,,,,,0,,29.8,23.6,7.3,7.0,15.1,273,18.71,26.1,84,87,1006.5,35.6,273,94,73,100,56,19.4,8.9,10.8,5.5,1008.1,1004.2,,TIDAK ADA DATA
201011,2010-01-11,DKI5,,,,,,,0,,29.4,23.8,6.2,7.0,14.0,262,18.32,26.1,84,88,1009.1,33.1,262,93,74,100,61,18.1,8.3,8.6,4.9,1010.6,1006.6,,TIDAK ADA DATA
201012,2010-01-12,DKI1,28.0,,17.0,26.0,29.0,12.0,29,O3,28.3,23.9,11.1,13.0,19.8,257,15.44,25.6,84,100,1010.2,40.0,257,92,74,100,99,26.4,14.0,17.6,9.7,1012.0,1008.0,,BAIK
201012,2010-01-12,DKI2,10.0,,,,,,10,PM10,28.4,23.9,12.8,13.0,20.7,266,16.32,25.7,84,100,1009.8,43.6,266,92,73,100,99,27.0,14.3,17.3,10.4,1011.8,1007.7,,BAIK
201012,2010-01-12,DKI3,58.0,,3.0,12.0,80.0,3.0,80,O3,28.6,23.3,11.1,13.0,19.8,257,15.44,25.2,86,100,1002.6,40.0,257,94,72,100,99,26.4,14.0,17.6,9.7,1004.5,1000.5,,SEDANG
201012,2010-01-12,DKI4,54.0,,1.0,11.0,47.0,8.0,54,PM10,29.3,23.5,12.8,13.0,20.7,266,16.32,25.5,85,100,1006.6,43.6,266,94,70,100,99,27.0,14.3,17.3,10.4,1008.6,1004.5,,SEDANG
201012,2010-01-12,DKI5,,,,,,,0,,28.3,23.8,11.1,13.0,19.8,257,15.44,25.6,84,100,1009.3,40.0,257,92,74,100,99,26.4,14.0,17.6,9.7,1011.1,1007.1,,TIDAK ADA DATA
201001,2010-01-13,DKI1,28.0,,5.0,29.0,10.0,12.0,29,CO,26.5,23.6,14.0,24.0,14.5,263,8.86,24.7,90,98,1011.0,33.1,263,94,84,100,87,27.5,12.2,20.5,9.4,1012.9,1009.2,,BAIK
201001,2010-01-13,DKI2,,,,,,,0,,26.4,23.7,12.4,23.0,16.6,271,10.36,24.7,90,99,1010.7,37.4,271,93,84,100,91,30.3,13.8,23.0,10.9,1012.5,1008.9,,TIDAK ADA DATA
201001,2010-01-13,DKI3,,,,,,,0,,26.3,23.0,14.0,24.0,14.5,263,8.86,24.3,92,98,1003.4,33.1,263,96,87,100,87,27.5,12.2,20.5,9.4,1005.3,1001.6,,TIDAK ADA DATA
201001,2010-01-13,DKI4,,,,,,,0,,26.4,23.2,12.4,23.0,16.6,271,10.36,24.5,91,99,1007.4,37.4,271,94,85,100,91,30.3,13.8,23.0,10.9,1009.2,1005.7,,TIDAK ADA DATA
201001,2010-01-13,DKI5,,,,,,,0,,26.4,23.6,14.0,24.0,14.5,263,8.86,24.6,90,98,1010.1,33.1,263,94,84,100,87,27.5,12.2,20.5,9.4,1012.0,1008.3,,TIDAK ADA DATA
201001,2010-01-14,DKI1,38.0,,6.0,28.0,15.0,10.0,38,PM10,27.8,23.5,9.7,22.0,20.3,271,18.26,25.1,86,86,1011.9,47.9,271,94,75,100,26,32.5,13.5,20.2,9.1,1013.4,1009.8,,BAIK
201001,2010-01-14,DKI2,,,,,,,0,,27.6,23.5,9.9,21.0,21.5,280,18.95,25.1,86,86,1011.6,49.3,280,94,75,100,30,33.9,15.2,21.2,10.8,1013.1,1009.4,,TIDAK ADA DATA
201001,2010-01-14,DKI3,,,,,,,0,,27.5,23.2,9.7,22.0,20.3,271,18.26,24.8,87,86,1004.3,47.9,271,95,76,100,26,32.5,13.5,20.2,9.1,1005.8,1002.3,,TIDAK ADA DATA
201001,2010-01-14,DKI4,,,,,,,0,,27.8,23.4,9.9,21.0,21.5,280,18.95,25.1,86,86,1008.3,49.3,280,94,75,100,30,33.9,15.2,21.2,10.8,1009.8,1006.2,,TIDAK ADA DATA
201001,2010-01-14,DKI5,,,,,,,0,,27.7,23.5,9.7,22.0,20.3,271,18.26,25.1,86,86,1011.0,47.9,271,94,75,100,26,32.5,13.5,20.2,9.1,1012.5,1008.9,,TIDAK ADA DATA
201001,2010-01-15,DKI1,35.0,,5.0,33.0,17.0,17.0,35,PM10,26.8,23.6,8.2,20.0,13.0,268,8.6,24.7,88,89,1011.9,36.0,268,93,81,100,44,23.9,9.8,15.1,4.7,1013.5,1009.8,,BAIK
